milliseconds,paper,gear,position
1,1,1,0
11,1,1,0
21,1,1,0
31,1,1,0
41,1,1,0
51,1,1,0
61,1,1,0
71,1,1,0
81,1,1,0
91,1,1,0
101,1,1,0
111,1,1,0
121,1,1,1
131,1,1,0
141,1,1,1
151,1,1,1
161,1,1,45
171,1,1,166
181,1,1,363
191,1,1,590
201,1,1,827
211,1,1,1067
221,1,1,1283
231,1,1,1516
241,1,1,1680
251,1,1,1748
261,1,1,1774
271,1,1,1787
281,1,1,1790
291,1,1,1796
301,1,1,1796
311,1,1,1796
321,1,1,1796
331,1,1,1796
342,1,1,1796
351,1,1,1796
361,1,1,1796
371,1,1,1796
381,1,1,1796
391,1,1,1796
401,1,1,1796
411,1,1,1796
421,1,1,1796
431,1,1,1796
441,1,1,1796
451,1,1,1796
461,1,1,1796
471,1,1,1796
481,1,1,1796
491,1,1,1796
501,1,1,1796
512,1,1,1796
521,1,1,1796
531,1,1,1796
541,1,1,1796
551,1,1,1796
561,1,1,1796
571,1,1,1796
581,1,1,1796
591,1,1,1796
601,1,1,1796
611,1,1,1796
621,1,1,1796
631,1,1,1796
641,1,1,1796
651,1,1,1796
661,1,1,1796
671,1,1,1796
681,1,1,1796
691,1,1,1796
701,1,1,1796
711,1,1,1796
721,1,1,1796
731,1,1,1796
741,1,1,1796
751,1,1,1796
761,1,1,1796
771,1,1,1796
781,1,1,1796
791,1,1,1796
801,1,1,1796
811,1,1,1796
821,1,1,1796
831,1,1,1796
841,1,1,1796
851,1,1,1796
861,1,1,1796
871,1,1,1796
881,1,1,1796
891,1,1,1796
901,1,1,1796
911,1,1,1796
921,1,1,1796
931,1,1,1796
941,1,1,1796
951,1,1,1796
961,1,1,1796
971,1,1,1796
982,1,1,1796
991,1,1,1796
1001,1,1,1796
1011,1,1,1796
1021,1,1,1796
1031,1,1,1796
1041,1,1,1796
1051,1,1,1796
1061,1,1,1796
1071,1,1,1796
1081,1,1,1796
1091,1,1,1796
1101,1,1,1796
1111,1,1,1796
1121,1,1,1796
1131,1,1,1796
1141,1,1,1796
1152,1,1,1796
1161,1,1,1796
1171,1,1,1796
1181,1,1,1796
1191,1,1,1796
1201,1,1,1796
1211,1,1,1796
1221,1,1,1796
1231,1,1,1796
1241,1,1,1796
1251,1,1,1796
1261,1,1,1796
1271,1,1,1796
1281,1,1,1796
1291,1,1,1796
1301,1,1,1796
1311,1,1,1796
1321,1,1,1796
1331,1,1,1796
1341,1,1,1796
1351,1,1,1796
1361,1,1,1796
1371,1,1,1796
1381,1,1,1796
1391,1,1,1796
1401,1,1,1796
1411,1,1,1796
1421,1,1,1796
1431,1,1,1796
1441,1,1,1796
1451,1,1,1796
1461,1,1,1796
1471,1,1,1796
1481,1,1,1796
1491,1,1,1796
1501,1,1,1796
1511,1,1,1796
1521,1,1,1796
1531,1,1,1796
1541,1,1,1796
1551,1,1,1796
1561,1,1,1796
1571,1,1,1796
1581,1,1,1796
1591,1,1,1796
1601,1,1,1796
1611,1,1,1796
1622,1,1,1796
1631,1,1,1796
1641,1,1,1796
1651,1,1,1796
1661,1,1,1796
1671,1,1,1796
1681,1,1,1796
1691,1,1,1796
1701,1,1,1796
1711,1,1,1796
1721,1,1,1796
1731,1,1,1796
1741,1,1,1796
1751,1,1,1796
1761,1,1,1796
1771,1,1,1796
1781,1,1,1796
1792,1,1,1796
1801,1,1,1796
1811,1,1,1796
1821,1,1,1796
1831,1,1,1796
1841,1,1,1796
1851,1,1,1796
1861,1,1,1796
1871,1,1,1796
1881,1,1,1796
1891,1,1,1796
1901,1,1,1796
1911,1,1,1796
1921,1,1,1796
1931,1,1,1796
1941,1,1,1796
1951,1,1,1796
1961,1,1,1796
1971,1,1,1796
1981,1,1,1796
1991,1,1,1796
2001,1,1,1796
2011,1,1,1796
2021,1,1,1796
2031,1,1,1796
2041,1,1,1796
2051,1,1,1796
2061,1,1,1796
2071,1,1,1796
2081,1,1,1796
2091,1,1,1796
2101,1,1,1796
2111,1,1,1796
2121,1,1,1796
2131,1,1,1796
2141,1,1,1796
2151,1,1,1796
2161,1,1,1796
2171,1,1,1796
2181,1,1,1796
2191,1,1,1796
2201,1,1,1796
2211,1,1,1796
2221,1,1,1796
2231,1,1,1796
2241,1,1,1796
2251,1,1,1796
2262,1,1,1796
2271,1,1,1796
2281,1,1,1796
2291,1,1,1796
2301,1,1,1796
2311,1,1,1796
2321,1,1,1796
2331,1,1,1796
2341,1,1,1796
2351,1,1,1796
2361,1,1,1796
2371,1,1,1796
2381,1,1,1796
2391,1,1,1796
2401,1,1,1796
2411,1,1,1796
2421,1,1,1796
2432,1,1,1796
2441,1,1,1796
2451,1,1,1796
2461,1,1,1796
2471,1,1,1796
2481,1,1,1796
2491,1,1,1796
2501,1,1,1796
2511,1,1,1796
2521,1,1,1796
2531,1,1,1796
2541,1,1,1796
2551,1,1,1796
2561,1,1,1796
2571,1,1,1796
2581,1,1,1796
2591,1,1,1796
2601,1,1,1796
2611,1,1,1796
2621,1,1,1796
2631,1,1,1796
2641,1,1,1796
2651,1,1,1796
2661,1,1,1796
2671,1,1,1796
2681,1,1,1796
2691,1,1,1796
2701,1,1,1796
2711,1,1,1796
2721,1,1,1796
2731,1,1,1796
2741,1,1,1796
2751,1,1,1796
2761,1,1,1796
2771,1,1,1796
2781,1,1,1796
2791,1,1,1796
2801,1,1,1796
2811,1,1,1796
2821,1,1,1796
2831,1,1,1796
2841,1,1,1796
2851,1,1,1796
2861,1,1,1796
2871,1,1,1796
2881,1,1,1796
2891,1,1,1796
2902,1,1,1796
2911,1,1,1796
2921,1,1,1796
2931,1,1,1796
2941,1,1,1796
2951,1,1,1796
2961,1,1,1796
2971,1,1,1796
2981,1,1,1796
2991,1,1,1796
3001,1,1,1796
3011,1,1,1796
3021,1,1,1796
3031,1,1,1796
3041,1,1,1796
3051,1,1,1796
3061,1,1,1796
3072,1,1,1796
3081,1,1,1796
3091,1,1,1796
3101,1,1,1796
3111,1,1,1796
3121,1,1,1796
3131,1,1,1796
3141,1,1,1796
3151,1,1,1796
3161,1,1,1796
3171,1,1,1796
3181,1,1,1796
3191,1,1,1796
3201,1,1,1796
3211,1,1,1796
3221,1,1,1796
3231,1,1,1796
3241,1,1,1796
3251,1,1,1796
3261,1,1,1796
3271,1,1,1796
3281,1,1,1796
3291,1,1,1796
3301,1,1,1796
3311,1,1,1796
3321,1,1,1796
3331,1,1,1796
3341,1,1,1796
3351,1,1,1796
3361,1,1,1796
3371,1,1,1796
3381,1,1,1796
3391,1,1,1796
3401,1,1,1796
3411,1,1,1796
3421,1,1,1796
3431,1,1,1796
3441,1,1,1796
3451,1,1,1796
